epoch,map50,l_box,l_obj,l_cls,n_pos,val_preds_kept,val_gt_images,val_gt_boxes,ap_aircraft,ap_ship,ap_human
1,0.004043126865377966,0.45982745041449863,0.03733106547345718,0.04511787121494611,273.0,1686,53,53,0.9056603773584906,0.004043126865377966,0.8867924528301887
2,0.0032756813573387436,0.3558814898133278,0.027331821154803038,0.04094864738484224,273.75,1678,53,53,0.9056603773584906,0.0032756813573387436,0.8867924528301887
3,0.002565375898244246,0.3561798756321271,0.022289380431175232,0.04019264473269383,272.25,1661,53,53,0.9056603773584906,0.002565375898244246,0.8867924528301887
4,0.0019339623175702006,0.35279229283332825,0.017174364843716223,0.03638439315060774,271.5,1556,53,53,0.9056603773584906,0.0019339623175702006,0.8867924528301887
5,0.0015460339919576105,0.3264957492550214,0.017414243969445426,0.03633382233480612,273.75,1428,53,53,0.9056603773584906,0.0015460339919576105,0.8867924528301887
6,0.000725689431968725,0.35441995908816654,0.013832864739621678,0.03552022948861122,270.0,1274,53,53,0.9056603773584906,0.000725689431968725,0.8867924528301887
7,0.0007861636157305735,0.3479827667276065,0.012631836192061504,0.034410920925438404,274.5,1140,53,53,0.9056603773584906,0.0007861636157305735,0.8867924528301887
8,0.0,0.31975969423850376,0.013524734492724141,0.03330245707184076,269.25,1044,53,53,0.9056603773584906,0.0,0.8867924528301887
9,0.0,0.32467716932296753,0.011368894716724753,0.03356946880618731,272.25,985,53,53,0.9056603773584906,0.0,0.8867924528301887
10,0.0,0.3158477966984113,0.009561853250488639,0.031051750760525465,270.0,938,53,53,0.9056603773584906,0.0,0.8867924528301887
