epoch,map50,l_box,l_obj,l_cls,n_pos,val_preds_kept,val_gt_images,val_gt_boxes,ap_aircraft,ap_ship,ap_human
1,0.0,0.46603338917096454,0.04105365555733442,0.0463116696725289,270.0,830,53,53,0.0,0.0,0.0
2,0.0,0.36481935530900955,0.029216703337927658,0.042723326633373894,270.75,853,53,53,0.0,0.0,0.0
3,0.0,0.3595772013068199,0.02128474546285967,0.038724819819132485,273.0,870,53,53,0.0,0.0,0.0
4,0.0,0.37526178856690723,0.019187604698042076,0.03771163336932659,273.75,855,53,53,0.0,0.0,0.0
5,0.0,0.3249539335568746,0.01614305004477501,0.03613174861917893,273.0,839,53,53,0.0,0.0,0.0
6,0.0,0.3287362828850746,0.013931269679839412,0.03271756895507375,275.25,828,53,53,0.0,0.0,0.0
7,0.0,0.30451710273822147,0.010367933583135406,0.03078522114083171,272.25,822,53,53,0.0,0.0,0.0
8,0.0,0.3168019602696101,0.011364647885784507,0.03525557741522789,273.75,832,53,53,0.0,0.0,0.0
9,0.0,0.30060307184855145,0.009171571660165986,0.03216343140229583,270.0,822,53,53,0.0,0.0,0.0
10,0.0,0.29698922857642174,0.01019061046342055,0.03752656622479359,270.0,804,53,53,0.0,0.0,0.0
